"","Neighbors","Total_Calls","Good_Calls","Total_Profit"
"1",1,954,191,3670.31966701568
"2",2,930,182,3477.75764227094
"3",3,457,120,2439.24120147776
"4",4,462,109,2171.74648778594
"5",5,277,76,1556.49221793007
"6",6,294,84,1731.71510935737
"7",7,185,60,1260.34309772914
"8",8,194,65,1371.37864757486
"9",9,165,63,1350.74262128146
"10",10,165,58,1231.28172723086
"11",11,149,56,1198.47575930818
"12",12,128,49,1050.88964411539
"13",13,116,50,1086.01561519869
"14",14,124,52,1126.31077797015
"15",15,117,53,1156.75600227295
"16",16,121,53,1153.01140484856
"17",17,113,49,1064.93188445686
"18",18,114,53,1159.56445034125
"19",19,103,46,1002.61684158748
"20",20,106,45,975.916214709062
